variable,variable full name
decision,admission decision (0: reject. 1: accept)
gpa,grade point average (0-4.0)
gre_quant,gre quantitative score (130-170)
gre_verbal,gre verbal score (130-170)
gre_writing,gre writing score (0-6)
sop_score,statement of purpose score (1: weak statement. 5: strong statement)
diversity_score,diversity statement score (1: weak statement. 5: strong statement)
rec_letter_1_strong,recommendation letter 1 is strong (1: yes. 0: no)
rec_letter_1_average,recommendation letter 1 is average (1: yes. 0: no)
rec_letter_1_weak,recommendation letter 1 is weak (1: yes. 0: no)
rec_letter_2_strong,recommendation letter 2 is strong (1: yes. 0: no)
rec_letter_2_average,recommendation letter 2 is average (1: yes. 0: no)
rec_letter_2_weak,recommendation letter 2 is weak (1: yes. 0: no)
rec_letter_3_strong,recommendation letter 3 is strong (1: yes. 0: no)
rec_letter_3_average,recommendation letter 3 is average (1: yes. 0: no)
rec_letter_3_weak,recommendation letter 3 is weak (1: yes. 0: no)
institution_rank,institution ranking (1: top rank. 2: medium rank. 3: low rank)
institution_us,institution is in US (1: yes. 0: no)
institution_canada,institution is in Canada (1: yes. 0: no)
institution_asia,institution is in Asia (1: yes. 0: no)
institution_europe,institution is in Europe (1: yes. 0: no)
institution_other,institution is in other regions (1: yes. 0: no)
synthetic_1,synthetic variable 1 (random variable)
synthetic_2,synthetic variable 2 (positive correlation with admission decision)
synthetic_3,synthetic variable 3 (negative correlation with admission decision)
major_humanities,major is in humanities (1: yes. 0: no)
major_naturalscience,major is in natural science (1: yes. 0: no)
major_socialscience,major is in social science (1: yes. 0: no)
major_business,major is in business (1: yes. 0: no)
major_engineering,major is in engineering (1: yes. 0: no)
major_other,major is other area not listed above (1: yes. 0: no)
